               table_name                |      column_name       | data_type |       fk_column        |    foreign_table_name     | foreign_column_name 
 treatment_plan_items_new                | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_plan_lock_tokens              | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_plan_print_odontograms        | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_plan_stages                   | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_plans                         | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_plans                         | patient_id             | uuid      | patient_id             | patients                  | id
 treatment_scenarios                     | organization_id        | uuid      | organization_id        | organizations             | id
 treatment_scenarios                     | patient_id             | uuid      | patient_id             | patients                  | id
 uis_call_speech_transcripts             | organization_id        | uuid      | organization_id        | organizations             | id
 uis_mass_appointment_confirmations      | organization_id        | uuid      | organization_id        | organizations             | id
 uis_omni_messenger_queues               | organization_id        | uuid      | organization_id        | organizations             | id
 uis_sms_chat_quotas                     | organization_id        | uuid      | organization_id        | organizations             | id
 urgent_schedule_requests                | organization_id        | uuid      | organization_id        | organizations             | id
 user_invitations                        | organization_id        | uuid      | organization_id        | organizations             | id
 users                                   | organization_id        | uuid      | organization_id        | organizations             | id
 visit_diaries                           | organization_id        | uuid      | organization_id        | organizations             | id
 visit_diary_revisions                   | organization_id        | uuid      | organization_id        | organizations             | id
 visit_examination_photo_links           | organization_id        | uuid      | organization_id        | organizations             | id
 visit_templates                         | organization_id        | uuid      | organization_id        | organizations             | id
 visits                                  | appointment_id         | uuid      | appointment_id         | appointments              | id
 visits                                  | organization_id        | uuid      | organization_id        | organizations             | id
 visits                                  | patient_id             | uuid      | patient_id             | patients                  | id
 xray_scans                              | organization_id        | uuid      | organization_id        | organizations             | id
 xray_scans                              | patient_id             | uuid      | patient_id             | patients                  | id
 xray_scans                              | visit_id               | uuid      | visit_id               | visits                    | id
 yandex_calendar_syncs                   | organization_id        | uuid      | organization_id        | organizations             | id
(215 ёЄЁюъ)

